scenario,method,total_unserved_energy_kwh,critical_unserved_energy_kwh,essential_unserved_energy_kwh,interruptible_unserved_energy_kwh,critical_served_fraction,highs_equivalence_max_kw
base_v15_normalized,proportional-curtailment,366.22061444444444,219.4505744166667,102.39362383333335,44.376416194444445,0.9937934806081311,1.1368683772161603e-13
base_v15_normalized,priority-greedy,366.22061444444444,11.288259201388891,117.42534620138892,237.5070090416667,0.9996807445147041,1.1368683772161603e-13
grid_derate_25pct,proportional-curtailment,430.09977954861114,263.5672416649306,115.56872057291666,50.963817310763886,0.9925457693569356,1.1368683772161603e-13
grid_derate_25pct,priority-greedy,430.09977954861114,11.288734895833336,164.08600715972224,254.72503749305557,0.9996807310610742,1.1368683772161603e-13
one_generator_unavailable,proportional-curtailment,1083.2881419444445,679.8701185833334,278.9592020277778,124.45882133333336,0.980771856778429,1.1368683772161603e-13
one_generator_unavailable,priority-greedy,1083.2881419444445,137.84415759027775,565.5331800347224,379.9108043194445,0.99610148007398,1.1368683772161603e-13
storage_derate_350kw,proportional-curtailment,366.22061444444444,219.4505744166667,102.39362383333335,44.376416194444445,0.9937934806081311,1.1368683772161603e-13
storage_derate_350kw,priority-greedy,366.22061444444444,11.288259201388891,117.42534620138892,237.5070090416667,0.9996807445147041,1.1368683772161603e-13
joint_extreme,proportional-curtailment,1679.263527399305,1034.9028102559028,440.0556496319444,204.30506751145828,0.9714446757788823,1.1368683772161603e-13
joint_extreme,priority-greedy,1679.263527399305,231.15499118697906,700.6827204934026,747.4258157189234,0.9936219076291409,1.1368683772161603e-13
