seed,phase,scenario,proposed_unserved_kwh,rule_unserved_kwh,ml_robust_unserved_kwh,causal_full_milp_unserved_kwh,delta_unserved_vs_rule_kwh,delta_unserved_vs_ml_kwh,delta_unserved_vs_causal_full_milp_kwh
20261008,development,A_stable_drilling,0.0,0.0,0.0,3.4082846747504343,0.0,0.0,-3.4082846747504343
20261008,development,B_connection_transition,29.400810700763007,36.34253413696798,39.07251330245296,58.99762049752034,-6.9417234362049705,-9.671702601689955,-29.59680979675733
20261008,development,C_tripping_impact,3.630178193052445,3.6301781930524455,3.630178193052445,16.963311194200088,-4.440892098500626e-16,0.0,-13.333133001147644
20261009,development,A_stable_drilling,0.0,0.0,0.0,3.921652645534939,0.0,0.0,-3.921652645534939
20261009,development,B_connection_transition,1.424915358057007,1.4249153580570073,1.424915358057007,9.89637211295854,-2.220446049250313e-16,0.0,-8.471456754901533
20261009,development,C_tripping_impact,9.287761323124633,9.287761323124634,20.882167009752656,34.725021806612524,-1.7763568394002505e-15,-11.594405686628024,-25.43726048348789
20261011,holdout,A_stable_drilling,0.0,0.0,0.0096335981815593,3.5744851270297406,0.0,-0.0096335981815593,-3.5744851270297406
20261011,holdout,B_connection_transition,1.6713367922634188,1.6974563476925164,1.6713367922634188,7.306495295870777,-0.026119555429097607,0.0,-5.635158503607358
20261011,holdout,C_tripping_impact,102.88670326210915,103.11396005573093,103.09593705195329,108.00586284701195,-0.22725679362177686,-0.20923378984413432,-5.119159584902803
20261012,holdout,A_stable_drilling,0.0,0.0,0.0,3.2636472913953996,0.0,0.0,-3.2636472913953996
20261012,holdout,B_connection_transition,0.0,0.0,0.0,4.841734398735894,0.0,0.0,-4.841734398735894
20261012,holdout,C_tripping_impact,104.49349422272444,107.02551675350274,105.81561814056667,108.37442469078374,-2.532022530778306,-1.3221239178422337,-3.8809304680593044
