load_kw,grid_kw,generator_kw,generator_units_on,storage_kw,charge_kw,discharge_kw,unserved_kw,spill_kw,soc,grid_headroom_storage_preservation_kw,grid_headroom_storage_charge_kw,v15_generator_first_guard_active,decision_seconds,generator_startup_units,generator_shutdown_units,step,risk_level,risk_reserve_kw,applied_risk_reserve_kw,forecast_scenario_count,cvar_alpha,cvar_weight,minimum_committed_generator_units,low_soc_commitment_guard_evaluated,low_soc_commitment_guard_triggered,low_soc_commitment_reachability_truncated,low_soc_commitment_forecast_peak_kw,low_soc_single_unit_firm_supply_kw,low_soc_commitment_deficit_kw,generator_before_storage,supervisory_protection_active,supervisory_safe_exit_counter,selected_controller,grid_available_capacity_kw,generator_available_capacity_kw,storage_available_power_kw
428.0,428.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.7501451329955385,0.0,0.0,True,0.010291440004948527,0,0,0,0,0.0,0.0,7,0.9,1.0,0,False,False,False,,,,False,False,0,Risk-Adaptive-CVaR-MPC,752.3363995870322,493.9883433941649,500.0
416.0,416.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.7501451329955385,0.0,0.0,True,0.007605304999742657,0,0,1,0,0.0,0.0,7,0.9,1.0,0,False,False,False,,,,False,False,0,Risk-Adaptive-CVaR-MPC,753.5399990733387,494.6401715365489,500.0
411.5,411.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.7501451329955385,0.0,0.0,True,0.008352171003934927,0,0,2,0,0.0,0.0,7,0.9,1.0,0,False,False,False,,,,False,False,0,Risk-Adaptive-CVaR-MPC,751.9782734956998,496.6456775165153,500.0
443.0,443.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.7501451329955385,0.0,0.0,True,0.00725646699720528,0,0,3,0,0.0,0.0,7,0.9,1.0,0,False,False,False,,,,False,False,0,Risk-Adaptive-CVaR-MPC,753.9109628857809,496.0542569186271,500.0
404.0,404.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.7501451329955385,0.0,0.0,True,0.009613855996576604,0,0,4,0,0.0,0.0,7,0.9,1.0,0,False,False,False,,,,False,False,0,Risk-Adaptive-CVaR-MPC,753.9369834817718,495.3129775790031,500.0
454.5,454.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.7501451329955385,0.0,0.0,True,0.007418121000227984,0,0,5,0,0.0,0.0,7,0.9,1.0,0,False,False,False,,,,False,False,0,Risk-Adaptive-CVaR-MPC,755.5915589875466,494.63263877411634,500.0
432.0,432.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.7501451329955385,0.0,0.0,True,0.010176630996284075,0,0,6,0,0.0,0.0,7,0.9,1.0,0,False,False,False,,,,False,False,0,Risk-Adaptive-CVaR-MPC,757.3140326901002,493.4129632121592,500.0
442.0,442.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.7501451329955385,0.0,0.0,True,0.008496123999066185,0,0,7,0,0.0,0.0,7,0.9,1.0,0,False,False,False,,,,False,False,0,Risk-Adaptive-CVaR-MPC,758.9600579289175,494.534410786732,500.0
411.5,411.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.7501451329955385,0.0,0.0,True,0.008425062995229382,0,0,8,0,0.0,0.0,7,0.9,1.0,0,False,False,False,,,,False,False,0,Risk-Adaptive-CVaR-MPC,758.2726529535306,495.6192646402635,500.0
420.0,420.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.7501451329955385,0.0,0.0,True,0.008376867001061328,0,0,9,0,0.0,0.0,7,0.9,1.0,0,False,False,False,,,,False,False,0,Risk-Adaptive-CVaR-MPC,760.4567689884328,497.5557514756427,500.0
