load_kw,grid_kw,generator_kw,generator_units_on,storage_kw,charge_kw,discharge_kw,unserved_kw,spill_kw,soc,grid_headroom_storage_preservation_kw,grid_headroom_storage_charge_kw,v15_generator_first_guard_active,decision_seconds,generator_startup_units,generator_shutdown_units,step,risk_level,risk_reserve_kw,applied_risk_reserve_kw,forecast_scenario_count,cvar_alpha,cvar_weight,minimum_committed_generator_units,low_soc_commitment_guard_evaluated,low_soc_commitment_guard_triggered,low_soc_commitment_reachability_truncated,low_soc_commitment_forecast_peak_kw,low_soc_single_unit_firm_supply_kw,low_soc_commitment_deficit_kw,generator_before_storage,supervisory_protection_active,supervisory_safe_exit_counter,selected_controller,grid_available_capacity_kw,generator_available_capacity_kw,storage_available_power_kw
1177.5,1004.8235781249998,0.0,0,172.67642187500013,0.0,172.67642187500013,0.0,0.0,0.16397054894520144,0.0,0.0,False,0.004514933993050363,0,0,0,0,0.0,0.0,1,,,0,False,False,False,,,,False,False,0,Risk-Aware-Ensemble-MPC,1196.7994804472207,798.4485525917358,498.89674221678456
1191.5,1009.5559999999998,0.0,0,181.94400000000013,0.0,181.94400000000013,0.0,0.0,0.16197054894520144,0.0,0.0,False,0.004144170998188201,0,0,1,0,0.0,0.0,1,,,0,False,False,False,,,,False,False,0,Risk-Aware-Ensemble-MPC,1199.723377752504,797.2676278234107,498.4371315561928
1143.0,996.5606386718748,0.0,0,146.43936132812513,0.0,146.43936132812513,0.0,0.0,0.16036082989617398,0.0,0.0,False,0.004139714998018462,0,0,2,0,0.0,0.0,1,,,0,False,False,False,,,,False,False,0,Risk-Aware-Ensemble-MPC,1196.833628184645,798.3849096306961,498.4196110047872
1121.5,951.1200869140623,0.0,0,170.37991308593763,0.0,170.37991308593763,0.0,0.0,0.15848794688727083,0.0,0.0,False,0.0041698689965414815,0,0,3,0,0.0,0.0,1,,,0,False,False,False,,,,False,False,0,Risk-Aware-Ensemble-MPC,1194.763181337778,798.2916928687499,498.265844884872
1121.0,953.8445478013372,0.0,0,167.15545219866283,0.0,167.15545219866283,0.0,0.0,0.15665050842050454,0.0,0.0,False,0.004215346998535097,0,0,4,0,0.0,0.0,1,,,0,False,False,False,,,,False,False,0,Risk-Aware-Ensemble-MPC,1194.6987436774566,797.7794457038439,497.5972698564991
1079.5,1079.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.15665050842050454,0.0,0.0,False,0.003953539002395701,0,0,5,0,0.0,0.0,1,,,0,False,False,False,,,,False,False,0,Risk-Aware-Ensemble-MPC,1188.4914516676463,799.1390902958157,497.4607905165909
1124.5,1124.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.15665050842050454,0.0,0.0,False,0.003940825001336634,0,0,6,0,0.0,0.0,1,,,0,False,False,False,,,,False,False,0,Risk-Aware-Ensemble-MPC,1192.4173852428114,798.8217827882966,497.4744699277711
1124.0,1124.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.15665050842050454,0.0,0.0,False,0.004094233001524117,0,0,7,0,0.0,0.0,1,,,0,False,False,False,,,,False,False,0,Risk-Aware-Ensemble-MPC,1192.3180070101864,799.0316743184259,497.5343181312738
1148.0,1148.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.15665050842050454,0.0,0.0,False,0.004122258003917523,0,0,8,0,0.0,0.0,1,,,0,False,False,False,,,,False,False,0,Risk-Aware-Ensemble-MPC,1188.9585437703536,798.6246269908794,497.2998037111134
1190.5,1190.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.15665050842050454,0.0,0.0,False,0.0040185990001191385,0,0,9,0,0.0,0.0,1,,,0,False,False,False,,,,False,False,0,Risk-Aware-Ensemble-MPC,1191.1274253636136,801.7835234450923,497.9769718283264
1169.5,1169.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.15665050842050454,0.0,0.0,False,0.003496160999929998,0,0,10,0,0.0,0.0,1,,,0,False,False,False,,,,False,False,0,Risk-Aware-Ensemble-MPC,1191.0906927822257,800.0357878037933,498.5893160526239
1148.5,1148.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.15665050842050454,0.0,0.0,False,0.0041932680032914504,0,0,11,0,0.0,0.0,1,,,0,False,False,False,,,,False,False,0,Risk-Aware-Ensemble-MPC,1186.3657901663632,799.7717404799196,497.8780722833165
1114.5,1114.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.15665050842050454,0.0,0.0,False,0.005658228998072445,0,0,12,0,0.0,0.0,1,,,0,False,False,False,,,,False,False,0,Risk-Aware-Ensemble-MPC,1186.7620516815869,800.0207179126324,498.5440303268422
1118.0,1118.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.15665050842050454,0.0,0.0,False,0.004225878001307137,0,0,13,0,0.0,0.0,1,,,0,False,False,False,,,,False,False,0,Risk-Aware-Ensemble-MPC,1185.908805892905,800.1149060426625,498.1619327874533
1130.5,1130.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.15665050842050454,0.0,0.0,False,0.0038761360046919435,0,0,14,0,0.0,0.0,1,,,0,False,False,False,,,,False,False,0,Risk-Aware-Ensemble-MPC,1186.615515166495,800.2112921535236,497.2701566870487
1115.0,1115.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.15665050842050454,0.0,0.0,False,0.004690889996709302,0,0,15,0,0.0,0.0,1,,,0,False,False,False,,,,False,False,0,Risk-Aware-Ensemble-MPC,1187.6274893765758,800.9661220830368,497.3349899889002
1128.5,1128.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.15665050842050454,0.0,0.0,False,0.0038107530053821392,0,0,16,0,0.0,0.0,1,,,0,False,False,False,,,,False,False,0,Risk-Aware-Ensemble-MPC,1186.8225321653929,801.7745803997062,496.93770111092897
1169.5,1169.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.15665050842050454,0.0,0.0,False,0.0037836770061403513,0,0,17,0,0.0,0.0,1,,,0,False,False,False,,,,False,False,0,Risk-Aware-Ensemble-MPC,1189.6127173771647,798.9653250366006,495.3770048168603
