load_kw,grid_kw,generator_kw,generator_units_on,storage_kw,charge_kw,discharge_kw,unserved_kw,spill_kw,soc,grid_headroom_storage_preservation_kw,grid_headroom_storage_charge_kw,v15_generator_first_guard_active,decision_seconds,generator_startup_units,generator_shutdown_units,step,risk_level,risk_reserve_kw,applied_risk_reserve_kw,forecast_scenario_count,cvar_alpha,cvar_weight,minimum_committed_generator_units,low_soc_commitment_guard_evaluated,low_soc_commitment_guard_triggered,low_soc_commitment_reachability_truncated,low_soc_commitment_forecast_peak_kw,low_soc_single_unit_firm_supply_kw,low_soc_commitment_deficit_kw,generator_before_storage,supervisory_protection_active,supervisory_safe_exit_counter,selected_controller,grid_available_capacity_kw,generator_available_capacity_kw,storage_available_power_kw
445.0,27.932694091796748,0.0,0,417.06730590820325,0.0,417.06730590820325,0.0,0.0,0.5648711342684076,0.0,0.0,False,0.003704959999595303,0,0,0,0,0.0,0.0,1,,,0,False,False,False,,,,False,False,0,ML-Robust-MPC,739.7295490918872,494.5872243891422,499.1703781009549
455.5,2.250290527343566,0.0,0,453.24970947265643,0.0,453.24970947265643,0.0,0.0,0.5598888352151532,0.0,0.0,False,0.003664964002382476,0,0,1,0,0.0,0.0,1,,,0,False,False,False,,,,False,False,0,ML-Robust-MPC,740.7997311019658,495.8805286741055,499.8312661435589
443.5,5.624649658203339,0.0,0,437.87535034179666,0.0,437.87535034179666,0.0,0.0,0.5550755371636451,0.0,0.0,False,0.0036665949955931865,0,0,2,0,0.0,0.0,1,,,0,False,False,False,,,,False,False,0,ML-Robust-MPC,739.0238081696098,495.09357857048974,499.9539062057042
440.0,0.0,0.0,0,440.0,0.0,440.0,0.0,0.0,0.5502388841275461,0.0,0.0,False,0.00385145700420253,0,0,3,0,0.0,0.0,1,,,0,False,False,False,,,,False,False,0,ML-Robust-MPC,739.8039329096794,496.01309343487264,499.5836041897622
468.5,19.74700927734375,0.0,0,448.75299072265625,0.0,448.75299072265625,0.0,0.0,0.5453060147751887,0.0,0.0,False,0.003623324999352917,0,0,4,0,0.0,0.0,1,,,0,False,False,False,,,,False,False,0,ML-Robust-MPC,743.1862263832575,495.5681501139383,500.0
455.0,14.169357910156577,0.0,0,440.8306420898434,0.0,440.8306420898434,0.0,0.0,0.5404602309945766,0.0,0.0,False,0.0036005119982291944,0,0,5,0,0.0,0.0,1,,,0,False,False,False,,,,False,False,0,ML-Robust-MPC,742.9822096274784,496.1962499960696,500.0
432.5,7.588150634765839,0.0,0,424.91184936523416,0.0,424.91184936523416,0.0,0.0,0.5357894328438794,0.0,0.0,False,0.003764141001738608,0,0,6,0,0.0,0.0,1,,,0,False,False,False,,,,False,False,0,ML-Robust-MPC,739.8423286733773,495.04254453866827,500.0
439.0,0.0,0.0,0,439.0,0.0,439.0,0.0,0.0,0.5309637722010442,0.0,0.0,False,0.004516935994615778,0,0,7,0,0.0,0.0,1,,,0,False,False,False,,,,False,False,0,ML-Robust-MPC,742.5018078329439,494.5789903303403,500.0
479.0,29.008819580078125,0.0,0,449.9911804199219,0.0,449.9911804199219,0.0,0.0,0.5260172921805992,0.0,0.0,False,0.003541672005667351,0,0,8,0,0.0,0.0,1,,,0,False,False,False,,,,False,False,0,ML-Robust-MPC,743.1824973597371,495.1666265404282,500.0
415.0,23.760239257812316,0.0,0,391.2397607421877,0.0,391.2397607421877,0.0,0.0,0.521716630870062,0.0,0.0,False,0.0036360020021675155,0,0,9,0,0.0,0.0,1,,,0,False,False,False,,,,False,False,0,ML-Robust-MPC,746.2203440448837,496.038852215113,499.6396977231223
