load_kw,grid_kw,generator_kw,generator_units_on,storage_kw,charge_kw,discharge_kw,unserved_kw,spill_kw,soc,grid_headroom_storage_preservation_kw,grid_headroom_storage_charge_kw,v15_generator_first_guard_active,decision_seconds,generator_startup_units,generator_shutdown_units,step,risk_level,risk_reserve_kw,applied_risk_reserve_kw,forecast_scenario_count,cvar_alpha,cvar_weight,minimum_committed_generator_units,low_soc_commitment_guard_evaluated,low_soc_commitment_guard_triggered,low_soc_commitment_reachability_truncated,low_soc_commitment_forecast_peak_kw,low_soc_single_unit_firm_supply_kw,low_soc_commitment_deficit_kw,generator_before_storage,supervisory_protection_active,supervisory_safe_exit_counter,selected_controller,grid_available_capacity_kw,generator_available_capacity_kw,storage_available_power_kw
496.5,496.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.6089620824664755,0.0,0.0,False,0.008121297003526706,0,0,0,0,0.0,0.0,7,0.9,1.0,0,False,False,False,,,,False,False,0,Scenario-CVaR-MPC,756.2806335901839,498.3316513468892,495.7642917889305
485.0,485.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.6089620824664755,0.0,0.0,False,0.007313504000194371,0,0,1,0,0.0,0.0,7,0.9,1.0,0,False,False,False,,,,False,False,0,Scenario-CVaR-MPC,755.0369729636288,496.9025054447313,495.4398317516525
487.0,487.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.6089620824664755,0.0,0.0,False,0.006950788003450725,0,0,2,0,0.0,0.0,7,0.9,1.0,0,False,False,False,,,,False,False,0,Scenario-CVaR-MPC,753.374755645358,495.1120496078848,495.7954596657492
487.0,487.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.6089620824664755,0.0,0.0,False,0.007704433999606408,0,0,3,0,0.0,0.0,7,0.9,1.0,0,False,False,False,,,,False,False,0,Scenario-CVaR-MPC,752.9337609527466,494.3239540163676,494.9944164086873
491.5,491.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.6089620824664755,0.0,0.0,False,0.006953370997507591,0,0,4,0,0.0,0.0,7,0.9,1.0,0,False,False,False,,,,False,False,0,Scenario-CVaR-MPC,754.7034122006637,494.3608626953168,493.2113780358984
494.5,494.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.6089620824664755,0.0,0.0,False,0.006967617002374027,0,0,5,0,0.0,0.0,7,0.9,1.0,0,False,False,False,,,,False,False,0,Scenario-CVaR-MPC,758.9063895673569,494.48418154897865,492.7644532451328
486.5,486.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.6089620824664755,0.0,0.0,False,0.007314221002161503,0,0,6,0,0.0,0.0,7,0.9,1.0,0,False,False,False,,,,False,False,0,Scenario-CVaR-MPC,761.7861014527151,494.42845939349,493.8292933066835
482.5,482.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.6089620824664755,0.0,0.0,False,0.0071324320015264675,0,0,7,0,0.0,0.0,7,0.9,1.0,0,False,False,False,,,,False,False,0,Scenario-CVaR-MPC,760.4827324393918,496.03474117980574,495.161799178498
479.5,479.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.6089620824664755,0.0,0.0,False,0.007626608996361028,0,0,8,0,0.0,0.0,7,0.9,1.0,0,False,False,False,,,,False,False,0,Scenario-CVaR-MPC,756.740704422217,496.46877123353255,496.4650185028685
478.0,478.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.6089620824664755,0.0,0.0,False,0.006991197995375842,0,0,9,0,0.0,0.0,7,0.9,1.0,0,False,False,False,,,,False,False,0,Scenario-CVaR-MPC,755.6245115341204,497.9379898039267,496.6390898614766
482.0,482.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.6089620824664755,0.0,0.0,False,0.007900233002146706,0,0,10,0,0.0,0.0,7,0.9,1.0,0,False,False,False,,,,False,False,0,Scenario-CVaR-MPC,754.629314008511,500.89520972677553,497.488945617155
409.0,409.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.6089620824664755,0.0,0.0,False,0.006819700000050943,0,0,11,0,0.0,0.0,7,0.9,1.0,0,False,False,False,,,,False,False,0,Scenario-CVaR-MPC,754.5339495901569,500.7925575496887,498.4848873752047
445.5,445.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.6089620824664755,0.0,0.0,False,0.008130914000503253,0,0,12,0,0.0,0.0,7,0.9,1.0,0,False,False,False,,,,False,False,0,Scenario-CVaR-MPC,753.1401062403228,499.22527702389687,497.8505140141144
447.5,447.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.6089620824664755,0.0,0.0,False,0.008987025001260918,0,0,13,0,0.0,0.0,7,0.9,1.0,0,False,False,False,,,,False,False,0,Scenario-CVaR-MPC,748.6842768499738,497.5617217975816,498.88546576411386
464.0,464.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.6089620824664755,0.0,0.0,False,0.007333062996622175,0,0,14,0,0.0,0.0,7,0.9,1.0,0,False,False,False,,,,False,False,0,Scenario-CVaR-MPC,747.7458860930283,494.9013483437331,498.44763763386834
470.5,470.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.6089620824664755,0.0,0.0,False,0.006594673999643419,0,0,15,0,0.0,0.0,7,0.9,1.0,0,False,False,False,,,,False,False,0,Scenario-CVaR-MPC,748.9641363084987,496.0727659603162,498.9672737313494
451.0,451.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.6089620824664755,0.0,0.0,False,0.006739254997228272,0,0,16,0,0.0,0.0,7,0.9,1.0,0,False,False,False,,,,False,False,0,Scenario-CVaR-MPC,747.4274281876462,495.7074045294901,499.96261539631945
459.0,459.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.6089620824664755,0.0,0.0,False,0.007405894997646101,0,0,17,0,0.0,0.0,7,0.9,1.0,0,False,False,False,,,,False,False,0,Scenario-CVaR-MPC,747.2191792341665,495.48269848844654,499.41787445501495
455.0,455.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.6089620824664755,0.0,0.0,False,0.006906023001647554,0,0,18,0,0.0,0.0,7,0.9,1.0,0,False,False,False,,,,False,False,0,Scenario-CVaR-MPC,743.3649227146874,495.4508261297056,500.0
463.0,463.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.6089620824664755,0.0,0.0,False,0.007449035001627635,0,0,19,0,0.0,0.0,7,0.9,1.0,0,False,False,False,,,,False,False,0,Scenario-CVaR-MPC,741.9649191396564,497.1782075755519,500.0
501.5,501.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.6089620824664755,0.0,0.0,False,0.006491378000646364,0,0,20,0,0.0,0.0,7,0.9,1.0,0,False,False,False,,,,False,False,0,Scenario-CVaR-MPC,741.2687936643687,499.9878589969137,500.0
