load_kw,grid_kw,generator_kw,generator_units_on,storage_kw,charge_kw,discharge_kw,unserved_kw,spill_kw,soc,grid_headroom_storage_preservation_kw,grid_headroom_storage_charge_kw,v15_generator_first_guard_active,decision_seconds,generator_startup_units,generator_shutdown_units,step,risk_level,risk_reserve_kw,applied_risk_reserve_kw,forecast_scenario_count,cvar_alpha,cvar_weight,minimum_committed_generator_units,low_soc_commitment_guard_evaluated,low_soc_commitment_guard_triggered,low_soc_commitment_reachability_truncated,low_soc_commitment_forecast_peak_kw,low_soc_single_unit_firm_supply_kw,low_soc_commitment_deficit_kw,generator_before_storage,supervisory_protection_active,supervisory_safe_exit_counter,selected_controller,grid_available_capacity_kw,generator_available_capacity_kw,storage_available_power_kw
1273.0,1153.0,120.0,1,0.0,0.0,0.0,0.0,0.0,0.15099522978094065,0.0,0.0,False,0.005436147999716923,0,0,0,0,0.0,0.0,1,,,0,False,False,False,,,,False,False,0,Persistence-MPC,1194.6027476687998,791.8725187431846,500.0
1263.5,1143.5,120.0,1,0.0,0.0,0.0,0.0,0.0,0.15099522978094065,0.0,0.0,False,0.004924671000026137,0,0,1,0,0.0,0.0,1,,,0,False,False,False,,,,False,False,0,Persistence-MPC,1199.556621227685,792.2926962698942,500.0
1253.0,1132.9999999999995,120.00000000000045,1,0.0,0.0,0.0,0.0,0.0,0.15099522978094065,0.0,0.0,False,0.004537207000339549,0,0,2,0,0.0,0.0,1,,,0,False,False,False,,,,False,False,0,Persistence-MPC,1195.9217790620803,790.4228048878504,500.0
1198.5,1078.5,120.0,1,0.0,0.0,0.0,0.0,0.0,0.15099522978094065,0.0,0.0,False,0.007450277999851096,0,0,3,0,0.0,0.0,1,,,0,False,False,False,,,,False,False,0,Persistence-MPC,1194.824236952345,790.6228765460106,500.0
1211.0,1016.5485639402667,120.00000000000003,1,74.45143605973325,0.0,74.45143605973325,0.0,0.0,0.15017683031671283,0.0,0.0,False,0.00469480800029487,0,0,4,0,0.0,0.0,1,,,0,False,False,False,,,,False,False,0,Persistence-MPC,1195.818898737999,794.042880336321,500.0
1171.5,1051.5,120.0,1,0.0,0.0,0.0,0.0,0.0,0.15017683031671283,0.0,0.0,False,0.0068177660000401374,0,0,5,0,0.0,0.0,1,,,0,False,False,False,,,,False,False,0,Persistence-MPC,1196.4579547748174,792.0177858606057,500.0
1216.5,1080.4133924279995,120.00000000000009,1,16.086607572000418,0.0,16.086607572000418,0.0,0.0,0.15,0.0,0.0,False,0.004131788999984565,0,0,6,0,0.0,0.0,1,,,0,False,False,False,,,,False,False,0,Persistence-MPC,1197.801099016321,792.3868095909319,500.0
1196.5,1155.3408616880954,120.0,1,-78.84086168809539,78.84086168809539,0.0,0.0,0.0,0.15078215140563586,0.0,0.0,False,0.0042083400003321,0,0,7,0,0.0,0.0,1,,,0,False,False,False,,,,False,False,0,Persistence-MPC,1198.377921971876,791.8205987066685,500.0
1260.0,1068.846122326494,120.0,1,71.15387767350607,0.0,71.15387767350607,0.0,0.0,0.15,0.0,0.0,False,0.004166708999946422,0,0,8,0,0.0,0.0,1,,,0,False,False,False,,,,False,False,0,Persistence-MPC,1197.958999471991,790.4057557707264,500.0
1263.5,1198.0515913695288,120.0,1,-54.55159136952875,54.55159136952875,0.0,0.0,0.0,0.15054118642231676,0.0,0.0,False,0.06379305200016461,0,0,9,0,0.0,0.0,1,,,0,False,False,False,,,,False,False,0,Persistence-MPC,1198.0515913695288,790.0525367445566,500.0
1219.5,1151.8388336742285,120.00000000000007,1,-52.338833674228525,52.338833674228525,0.0,0.0,0.0,0.1510604208833706,0.0,0.0,False,0.09699314199997389,0,0,10,0,0.0,0.0,1,,,0,False,False,False,,,,False,False,0,Persistence-MPC,1195.8388336742285,791.1829203148033,500.0
1207.0,1187.0451773706757,120.0,1,-100.04517737067559,100.04517737067559,0.0,0.0,0.0,0.15205293256363525,0.0,0.0,False,0.04549959200039666,0,0,11,0,0.0,0.0,1,,,0,False,False,False,,,,False,False,0,Persistence-MPC,1199.5451773706757,791.5406654376281,500.0
1175.0,1161.9598357919087,0.0,0,13.04016420809117,0.0,13.04016420809117,0.0,0.0,0.15190958995043458,0.0,0.0,False,0.004895095999927435,0,1,12,0,0.0,0.0,1,,,0,False,False,False,,,,False,False,0,Persistence-MPC,1194.116434820824,793.0799476533017,500.0
1162.0,1001.2807830290653,0.0,0,160.71921697093472,0.0,160.71921697093472,0.0,0.0,0.1501429011124302,0.0,0.0,False,0.004509947000315151,0,0,13,0,0.0,0.0,1,,,0,False,False,False,,,,False,False,0,Persistence-MPC,1191.9175700677022,793.6441196930482,500.0
1149.0,1148.9999999999993,0.0,0,5.950795411990839e-13,0.0,5.950795411990839e-13,0.0,0.0,0.1501429011124302,0.0,0.0,False,0.004837154000142618,0,0,14,0,0.0,0.0,1,,,0,False,False,False,,,,False,False,0,Persistence-MPC,1188.9319283414366,793.3320602835953,500.0
1148.5,1135.9999999999993,0.0,0,12.500000000000595,0.0,12.500000000000595,0.0,0.0,0.15000549619663192,0.0,0.0,False,0.004401770000185934,0,0,15,0,0.0,0.0,1,,,0,False,False,False,,,,False,False,0,Persistence-MPC,1190.6682349478338,792.2794800904383,500.0
1191.0,1071.0,120.0,1,0.0,0.0,0.0,0.0,0.0,0.15000549619663192,0.0,0.0,False,0.0042906049998236995,1,0,16,0,0.0,0.0,1,,,0,False,False,False,,,,False,False,0,Persistence-MPC,1190.2150447014408,791.0804765117152,500.0
1205.0,1085.0,120.0,1,0.0,0.0,0.0,0.0,0.0,0.15000549619663192,0.0,0.0,False,0.004945602000134386,0,0,17,0,0.0,0.0,1,,,0,False,False,False,,,,False,False,0,Persistence-MPC,1187.6149305955105,791.1472882885566,500.0
1203.0,1083.0,120.0,1,0.0,0.0,0.0,0.0,0.0,0.15000549619663192,0.0,0.0,False,0.0071280980000665295,0,0,18,0,0.0,0.0,1,,,0,False,False,False,,,,False,False,0,Persistence-MPC,1189.8476580276458,791.1803196921759,500.0
1180.5,1060.5,120.0,1,0.0,0.0,0.0,0.0,0.0,0.15000549619663192,0.0,0.0,False,0.006355028000143648,0,0,19,0,0.0,0.0,1,,,0,False,False,False,,,,False,False,0,Persistence-MPC,1190.0479746956917,795.3148879894098,500.0
