load_kw,grid_kw,generator_kw,generator_units_on,storage_kw,charge_kw,discharge_kw,unserved_kw,spill_kw,soc,grid_headroom_storage_preservation_kw,grid_headroom_storage_charge_kw,v15_generator_first_guard_active,decision_seconds,generator_startup_units,generator_shutdown_units,step,risk_level,risk_reserve_kw,applied_risk_reserve_kw,forecast_scenario_count,cvar_alpha,cvar_weight,minimum_committed_generator_units,low_soc_commitment_guard_evaluated,low_soc_commitment_guard_triggered,low_soc_commitment_reachability_truncated,low_soc_commitment_forecast_peak_kw,low_soc_single_unit_firm_supply_kw,low_soc_commitment_deficit_kw,generator_before_storage,supervisory_protection_active,supervisory_safe_exit_counter,selected_controller,grid_available_capacity_kw,generator_available_capacity_kw,storage_available_power_kw
434.5,314.5,120.0,1,0.0,0.0,0.0,0.0,0.0,0.27947618789215856,0.0,0.0,False,0.0038027599998713413,0,0,0,0,0.0,0.0,1,,,0,False,False,False,,,,False,False,0,ML-Robust-MPC,432.3795752535788,360.2462389931319,274.05832290554
434.0,399.41616133268417,120.0,1,-85.41616133268417,85.41616133268417,0.0,0.0,0.0,0.2803235704450622,0.0,0.0,False,0.008585234999827662,0,0,1,0,0.0,0.0,1,,,0,False,False,False,,,,False,False,0,ML-Robust-MPC,432.9180534225279,359.61122290420747,274.9139553572174
473.5,436.08927541060007,120.0,1,-82.58927541060007,82.58927541060007,0.0,0.0,0.0,0.2811429084947705,0.0,0.0,False,0.0064631229997758055,0,0,2,0,0.0,0.0,1,,,0,False,False,False,,,,False,False,0,ML-Robust-MPC,436.5973625688032,359.9236766833483,278.8093500999444
468.5,407.5557344428054,120.0,1,-59.05573444280532,59.05573444280532,0.0,0.0,0.0,0.28172877887614756,0.0,0.0,False,0.0056183579999924405,0,0,3,0,0.0,0.0,1,,,0,False,False,False,,,,False,False,0,ML-Robust-MPC,436.3537996283522,357.8553700277067,280.9307661461357
508.0,432.63650754987987,120.0,1,-44.63650754987992,44.63650754987992,0.0,0.0,0.0,0.28217160137168207,0.0,0.0,False,0.004608516000189411,0,0,4,0,0.0,0.0,1,,,0,False,False,False,,,,False,False,0,ML-Robust-MPC,432.9922204405049,357.70050842848104,280.1016572385113
506.5,404.5452736756445,149.1169795697512,1,-47.16225324539573,47.16225324539573,0.0,0.0,0.0,0.28263948086816415,0.0,0.0,False,0.004816403999939212,0,0,5,0,0.0,0.0,1,,,0,False,False,False,,,,False,False,0,ML-Robust-MPC,433.6442116639258,355.9095949431584,276.4833864117035
531.0,410.55573634851515,120.44426365148485,1,0.0,0.0,0.0,0.0,0.0,0.28263948086816415,0.0,0.0,False,0.03821191999986695,0,0,6,1,30.0,0.0,1,,,0,False,False,False,,,,False,False,0,ML-Robust-MPC,430.60041408289015,353.4778441575036,277.4854769095433
558.5,413.671547944572,150.44426365148485,1,-5.615811596056858,5.615811596056858,0.0,0.0,0.0,0.2826951932847917,0.0,0.0,False,0.007002209000347648,0,0,7,1,30.0,0.0,1,,,0,False,False,False,,,,False,False,0,ML-Robust-MPC,431.0041895461345,350.7545425925457,279.57216930547656
564.5,394.8930957808036,180.44426365148485,1,-10.837359432288451,10.837359432288451,0.0,0.0,0.0,0.28280270677122316,0.0,0.0,False,0.008220336000249517,0,0,8,1,30.0,0.0,1,,,0,False,False,False,,,,False,False,0,ML-Robust-MPC,431.1722705854911,352.2595036894135,281.71861081665105
581.0,394.9533928918467,330.44426365148485,2,-144.39765654333155,144.39765654333155,0.0,0.0,0.0,0.2842352232051848,0.0,0.0,False,0.006064446999971551,1,0,9,2,80.0,0.0,1,,,0,False,False,False,,,,False,False,0,ML-Robust-MPC,431.9134758996592,352.31996877118985,282.2597175203488
626.5,419.14279424571686,351.2534165774074,2,-143.8962108231242,143.8962108231242,0.0,0.0,0.0,0.2856627649792237,0.0,0.0,False,0.004138520000196877,0,0,10,3,150.0,0.0,1,,,0,False,False,False,,,,False,False,0,ML-Robust-MPC,429.9364343824356,351.2534165774074,284.589364421939
616.5,372.96799948241113,352.1200122137631,2,-108.58801169617425,108.58801169617425,0.0,0.0,0.0,0.2867400270000191,0.0,0.0,False,0.004105423000055453,0,0,11,3,150.0,0.0,1,,,0,False,False,False,,,,False,False,0,ML-Robust-MPC,430.3954286816299,352.1200122137631,288.59587896686963
648.0,397.0435708958689,353.8053873770358,2,-102.84895827290472,102.84895827290472,0.0,0.0,0.0,0.2877603539670122,0.0,0.0,False,0.004136758999720769,0,0,12,3,150.0,0.0,1,,,0,False,False,False,,,,False,False,0,ML-Robust-MPC,433.5941080052439,353.8053873770358,283.5094627658878
705.0,428.168995265601,352.933039505164,2,-76.10203477076493,76.10203477076493,0.0,0.0,0.0,0.28851533447069044,0.0,0.0,False,0.004335489999903075,0,0,13,3,150.0,0.0,1,,,0,False,False,False,,,,False,False,0,ML-Robust-MPC,433.077930812476,352.933039505164,290.0903387322192
709.5,386.132955759253,351.5736889269164,2,-28.206644686169398,28.206644686169398,0.0,0.0,0.0,0.288795162294958,0.0,0.0,False,0.005726830000185146,0,0,14,3,150.0,0.0,1,,,0,False,False,False,,,,False,False,0,ML-Robust-MPC,434.2468473608155,351.5736889269164,306.62477413750474
758.5,417.12051340846875,351.5694609337409,2,-10.189974342209666,10.189974342209666,0.0,0.0,0.0,0.2888962533102577,0.0,0.0,False,0.004459923000013077,0,0,15,3,150.0,0.0,1,,,0,False,False,False,,,,False,False,0,ML-Robust-MPC,438.0386652639375,351.5694609337409,291.14361108823914
787.5,433.5415742531512,351.9546425591556,2,2.003783187693216,0.0,2.003783187693216,0.0,0.0,0.2888742269374431,0.0,0.0,False,0.004231093000271358,0,0,16,3,150.0,0.0,1,,,0,False,False,False,,,,False,False,0,ML-Robust-MPC,433.5415742531512,351.9546425591556,291.53123373880305
813.5,432.0541163287336,350.6425773808002,2,30.803306290466253,0.0,30.803306290466253,0.0,0.0,0.2885356248808711,0.0,0.0,False,0.0042137760001423885,0,0,17,3,150.0,0.0,1,,,0,False,False,False,,,,False,False,0,ML-Robust-MPC,432.0541163287336,350.6425773808002,289.6267123122405
877.0,432.6425607690427,352.18813063835256,2,92.1693085926047,0.0,92.1693085926047,0.0,0.0,0.287522463593963,0.0,0.0,False,0.004276471000139281,0,0,18,3,150.0,0.0,1,,,0,False,False,False,,,,False,False,0,ML-Robust-MPC,432.6425607690427,352.18813063835256,282.8405030345644
933.5,435.5621945291528,354.72269259625807,2,143.21511287458907,0.0,143.21511287458907,0.0,0.0,0.2859481867519172,0.0,0.0,False,0.00747455999999147,0,0,19,3,150.0,0.0,1,,,0,False,False,False,,,,False,False,0,ML-Robust-MPC,435.5621945291528,354.72269259625807,287.3728225485944
919.0,434.7180745800008,354.2785778609602,2,130.00334755903896,0.0,130.00334755903896,0.0,0.0,0.2845191388299298,0.0,0.0,False,0.008537884000361373,0,0,20,3,150.0,0.0,1,,,0,False,False,False,,,,False,False,0,ML-Robust-MPC,434.7180745800008,354.2785778609602,284.5623164763843
1012.0,437.95436255543376,350.94546845598484,2,223.10016898858134,0.0,223.10016898858134,0.0,0.0,0.28206673403517335,0.0,0.0,False,0.006663179000042874,0,0,21,3,150.0,0.0,1,,,0,False,False,False,,,,False,False,0,ML-Robust-MPC,437.95436255543376,350.94546845598484,284.43964716777515
1056.5,434.9563382831113,348.82132689097205,2,272.72233482591673,0.0,272.72233482591673,0.0,0.0,0.2790688628789284,0.0,0.0,False,0.008535552000012103,0,0,22,3,150.0,0.0,1,,,0,False,False,False,,,,False,False,0,ML-Robust-MPC,434.9563382831113,348.82132689097205,283.0926956161943
1094.5,434.9198951023401,348.1021278919024,2,272.99666868119243,0.0,272.99666868119243,38.481308324565134,0.0,0.27606797613706063,0.0,0.0,False,0.007521039000039309,0,0,23,3,150.0,0.0,1,,,0,False,False,False,,,,False,False,0,ML-Robust-MPC,434.9198951023401,348.1021278919024,272.99666868119243
1122.0,432.9301155765617,347.9022378566718,2,268.9349933838064,0.0,268.9349933838064,72.23265318296012,0.0,0.2731117369273719,0.0,0.0,False,0.008762303999901633,0,0,24,3,150.0,0.0,1,,,0,False,False,False,,,,False,False,0,ML-Robust-MPC,432.9301155765617,347.9022378566718,268.9349933838064
