load_kw,grid_kw,generator_kw,generator_units_on,storage_kw,charge_kw,discharge_kw,unserved_kw,spill_kw,soc,grid_headroom_storage_preservation_kw,grid_headroom_storage_charge_kw,v15_generator_first_guard_active,decision_seconds,generator_startup_units,generator_shutdown_units,step,risk_level,risk_reserve_kw,applied_risk_reserve_kw,forecast_scenario_count,cvar_alpha,cvar_weight,minimum_committed_generator_units,low_soc_commitment_guard_evaluated,low_soc_commitment_guard_triggered,low_soc_commitment_reachability_truncated,low_soc_commitment_forecast_peak_kw,low_soc_single_unit_firm_supply_kw,low_soc_commitment_deficit_kw,generator_before_storage,supervisory_protection_active,supervisory_safe_exit_counter,selected_controller,grid_available_capacity_kw,generator_available_capacity_kw,storage_available_power_kw
434.5,314.5,120.0,1,0.0,0.0,0.0,0.0,0.0,0.27947618789215856,0.0,0.0,False,0.012264133999906335,0,0,0,0,0.0,0.0,7,0.9,1.0,0,False,False,False,,,,False,False,0,Scenario-CVaR-MPC,432.3795752535788,360.2462389931319,274.05832290554
434.0,330.5621448649812,120.0,1,-16.562144864981196,16.562144864981196,0.0,0.0,0.0,0.2796404948848667,0.0,0.0,False,0.010732761999861395,0,0,1,0,0.0,0.0,7,0.9,1.0,0,False,False,False,,,,False,False,0,Scenario-CVaR-MPC,432.9180534225279,359.61122290420747,274.9139553572174
473.5,353.5,120.0,1,0.0,0.0,0.0,0.0,0.0,0.2796404948848667,0.0,0.0,False,0.019838115000311518,0,0,2,0,0.0,0.0,7,0.9,1.0,0,False,False,False,,,,False,False,0,Scenario-CVaR-MPC,436.5973625688032,359.9236766833483,278.8093500999444
468.5,420.2862947455397,120.0,1,-71.78629474553964,71.78629474553964,0.0,0.0,0.0,0.2803526605073423,0.0,0.0,False,0.015153896999891003,0,0,3,0,0.0,0.0,7,0.9,1.0,0,False,False,False,,,,False,False,0,Scenario-CVaR-MPC,436.3537996283522,357.8553700277067,280.9307661461357
508.0,432.9922204405049,120.0,1,-44.99222044050498,44.99222044050498,0.0,0.0,0.0,0.2807990119006013,0.0,0.0,False,0.015403791000153433,0,0,4,0,0.0,0.0,7,0.9,1.0,0,False,False,False,,,,False,False,0,Scenario-CVaR-MPC,432.9922204405049,357.70050842848104,280.1016572385113
506.5,417.9376076600195,120.0,1,-31.437607660019466,31.437607660019466,0.0,0.0,0.0,0.2811108929289745,0.0,0.0,False,0.014747919000001275,0,0,5,0,0.0,0.0,7,0.9,1.0,0,False,False,False,,,,False,False,0,Scenario-CVaR-MPC,433.6442116639258,355.9095949431584,276.4833864117035
531.0,422.1286733602339,146.23440578516167,1,-37.363079145395574,37.363079145395574,0.0,0.0,0.0,0.28148155839668676,0.0,0.0,False,0.01063515899977574,0,0,6,1,30.0,0.0,7,0.9,1.0,0,False,False,False,,,,False,False,0,Scenario-CVaR-MPC,430.60041408289015,353.4778441575036,277.4854769095433
558.5,424.896889741447,141.56127348266568,1,-7.95816322411271,7.95816322411271,0.0,0.0,0.0,0.28156050842867203,0.0,0.0,False,0.17302158500024234,0,0,7,1,30.0,0.0,7,0.9,1.0,0,False,False,False,,,,False,False,0,Scenario-CVaR-MPC,431.0041895461345,350.7545425925457,279.57216930547656
564.5,410.94308357377236,164.70052596722232,1,-11.143609540994674,11.143609540994674,0.0,0.0,0.0,0.2816710601106263,0.0,0.0,False,0.07083698299993557,0,0,8,1,30.0,0.0,7,0.9,1.0,0,False,False,False,,,,False,False,0,Scenario-CVaR-MPC,431.1722705854911,352.2595036894135,281.71861081665105
581.0,410.62300959106545,170.37699040893452,1,0.0,0.0,0.0,0.0,0.0,0.2816710601106263,0.0,0.0,False,0.06079221900017728,0,0,9,2,80.0,0.0,7,0.9,1.0,0,False,False,False,,,,False,False,0,Scenario-CVaR-MPC,431.9134758996592,352.31996877118985,282.2597175203488
626.5,429.9364343824356,320.3769904089345,2,-123.8134247913701,123.8134247913701,0.0,0.0,0.0,0.28289936789625497,0.0,0.0,False,0.015051521000259527,1,0,10,3,150.0,0.0,7,0.9,1.0,0,False,False,False,,,,False,False,0,Scenario-CVaR-MPC,429.9364343824356,351.2534165774074,284.589364421939
616.5,405.8414736035049,352.1200122137631,2,-141.461485817268,141.461485817268,0.0,0.0,0.0,0.28430275565237867,0.0,0.0,False,0.018153341000015644,0,0,11,3,150.0,0.0,7,0.9,1.0,0,False,False,False,,,,False,False,0,Scenario-CVaR-MPC,430.3954286816299,352.1200122137631,288.59587896686963
648.0,426.4474405247752,353.8053873770358,2,-132.25282790181097,132.25282790181097,0.0,0.0,0.0,0.2856147876752141,0.0,0.0,False,0.017607985999802622,0,0,12,3,150.0,0.0,7,0.9,1.0,0,False,False,False,,,,False,False,0,Scenario-CVaR-MPC,433.5941080052439,353.8053873770358,283.5094627658878
705.0,433.077930812476,352.933039505164,2,-81.01097031763993,81.01097031763993,0.0,0.0,0.0,0.28641846793630177,0.0,0.0,False,0.015666331999909744,0,0,13,3,150.0,0.0,7,0.9,1.0,0,False,False,False,,,,False,False,0,Scenario-CVaR-MPC,433.077930812476,352.933039505164,290.0903387322192
709.5,421.439352243628,351.5736889269164,2,-63.5130411705444,63.5130411705444,0.0,0.0,0.0,0.287048557630454,0.0,0.0,False,0.015131440000004659,0,0,14,3,150.0,0.0,7,0.9,1.0,0,False,False,False,,,,False,False,0,Scenario-CVaR-MPC,434.2468473608155,351.5736889269164,306.62477413750474
758.5,438.0386652639375,351.5694609337409,2,-31.108126197678416,31.108126197678416,0.0,0.0,0.0,0.28735716999352623,0.0,0.0,False,0.013166441000066698,0,0,15,3,150.0,0.0,7,0.9,1.0,0,False,False,False,,,,False,False,0,Scenario-CVaR-MPC,438.0386652639375,351.5694609337409,291.14361108823914
787.5,433.5415742531512,351.9546425591556,2,2.003783187693216,0.0,2.003783187693216,0.0,0.0,0.2873351436207116,0.0,0.0,False,0.007894999999734864,0,0,16,3,150.0,0.0,7,0.9,1.0,0,False,False,False,,,,False,False,0,Scenario-CVaR-MPC,433.5415742531512,351.9546425591556,291.53123373880305
813.5,432.0541163287336,350.6425773808002,2,30.803306290466253,0.0,30.803306290466253,0.0,0.0,0.2869965415641396,0.0,0.0,False,0.007815351999852282,0,0,17,3,150.0,0.0,7,0.9,1.0,0,False,False,False,,,,False,False,0,Scenario-CVaR-MPC,432.0541163287336,350.6425773808002,289.6267123122405
877.0,432.6425607690427,352.18813063835256,2,92.1693085926047,0.0,92.1693085926047,0.0,0.0,0.2859833802772315,0.0,0.0,False,0.007371696000063821,0,0,18,3,150.0,0.0,7,0.9,1.0,0,False,False,False,,,,False,False,0,Scenario-CVaR-MPC,432.6425607690427,352.18813063835256,282.8405030345644
933.5,435.5621945291528,354.72269259625807,2,143.21511287458907,0.0,143.21511287458907,0.0,0.0,0.2844091034351857,0.0,0.0,False,0.007104109000010794,0,0,19,3,150.0,0.0,7,0.9,1.0,0,False,False,False,,,,False,False,0,Scenario-CVaR-MPC,435.5621945291528,354.72269259625807,287.3728225485944
919.0,434.7180745800008,354.2785778609602,2,130.00334755903896,0.0,130.00334755903896,0.0,0.0,0.2829800555131983,0.0,0.0,False,0.008373534999918775,0,0,20,3,150.0,0.0,7,0.9,1.0,0,False,False,False,,,,False,False,0,Scenario-CVaR-MPC,434.7180745800008,354.2785778609602,284.5623164763843
1012.0,437.95436255543376,350.94546845598484,2,223.10016898858134,0.0,223.10016898858134,0.0,0.0,0.2805276507184419,0.0,0.0,False,0.01573760500014032,0,0,21,3,150.0,0.0,7,0.9,1.0,0,False,False,False,,,,False,False,0,Scenario-CVaR-MPC,437.95436255543376,350.94546845598484,284.43964716777515
1056.5,434.9563382831113,348.82132689097205,2,272.72233482591673,0.0,272.72233482591673,0.0,0.0,0.27752977956219693,0.0,0.0,False,0.009507075999863446,0,0,22,3,150.0,0.0,7,0.9,1.0,0,False,False,False,,,,False,False,0,Scenario-CVaR-MPC,434.9563382831113,348.82132689097205,283.0926956161943
1094.5,434.9198951023401,348.1021278919024,2,272.99666868119243,0.0,272.99666868119243,38.481308324565134,0.0,0.27452889282032916,0.0,0.0,False,0.008233010999902035,0,0,23,3,150.0,0.0,7,0.9,1.0,0,False,False,False,,,,False,False,0,Scenario-CVaR-MPC,434.9198951023401,348.1021278919024,272.99666868119243
1122.0,432.9301155765617,347.9022378566718,2,268.9349933838064,0.0,268.9349933838064,72.23265318296012,0.0,0.2715726536106404,0.0,0.0,False,0.008422782000252482,0,0,24,3,150.0,0.0,7,0.9,1.0,0,False,False,False,,,,False,False,0,Scenario-CVaR-MPC,432.9301155765617,347.9022378566718,268.9349933838064
1232.0,428.1724632975069,347.97883692736724,2,271.6200385997979,0.0,271.6200385997979,184.22866117532794,0.0,0.2685868993280062,0.0,0.0,False,0.00880231700011791,0,0,25,3,150.0,0.0,7,0.9,1.0,0,False,False,False,,,,False,False,0,Scenario-CVaR-MPC,428.1724632975069,347.97883692736724,271.6200385997979
1251.0,430.92425817079663,348.18384976671206,2,271.3817463780642,0.0,271.3817463780642,200.51014568442707,0.0,0.26560376444718503,0.0,0.0,False,0.016021657999772287,0,0,26,3,150.0,0.0,7,0.9,1.0,0,False,False,False,,,,False,False,0,Scenario-CVaR-MPC,430.92425817079663,348.18384976671206,271.3817463780642
1205.0,430.0338311842811,348.26597421823305,2,266.93051947683534,0.0,266.93051947683534,159.7696751206504,0.0,0.26266955920296886,0.0,0.0,False,0.01893932000029963,0,0,27,3,150.0,0.0,7,0.9,1.0,0,False,False,False,,,,False,False,0,Scenario-CVaR-MPC,430.0338311842811,348.26597421823305,266.93051947683534
1151.5,429.7478771641498,349.2078513233652,2,274.35038362087016,0.0,274.35038362087016,98.19388789161485,0.0,0.259653791894117,0.0,0.0,False,0.01836156999979721,0,0,28,3,150.0,0.0,7,0.9,1.0,0,False,False,False,,,,False,False,0,Scenario-CVaR-MPC,429.7478771641498,349.2078513233652,274.35038362087016
1113.0,160.9814435341962,228.9819317933676,1,105.98600925333174,0.0,105.98600925333174,617.0506154191045,0.0,0.25848875199993715,0.0,0.0,False,0.007705673000145907,0,0,29,3,150.0,0.0,7,0.9,1.0,0,False,False,False,,,,False,False,0,Scenario-CVaR-MPC,160.9814435341962,228.9819317933676,105.98600925333174
1020.5,161.87357980230607,227.0096603499175,1,100.7236978311636,0.0,100.7236978311636,530.8930620166128,0.0,0.25738155750238667,0.0,0.0,False,0.007519524999679561,0,0,30,3,150.0,0.0,7,0.9,1.0,0,False,False,False,,,,False,False,0,Scenario-CVaR-MPC,161.87357980230607,227.0096603499175,100.7236978311636
979.0,160.98800346258653,227.69842657092988,1,98.37330191708668,0.0,98.37330191708668,491.9402680493969,0.0,0.2563001994810495,0.0,0.0,False,0.007058019999931275,0,0,31,3,150.0,0.0,7,0.9,1.0,0,False,False,False,,,,False,False,0,Scenario-CVaR-MPC,160.98800346258653,227.69842657092988,98.37330191708668
934.5,163.6351989367431,227.8684955718984,1,100.76145689986804,0.0,100.76145689986804,442.23484859149045,0.0,0.2551925899209665,0.0,0.0,False,0.007209738999790716,0,0,32,3,150.0,0.0,7,0.9,1.0,0,False,False,False,,,,False,False,0,Scenario-CVaR-MPC,163.6351989367431,227.8684955718984,100.76145689986804
