method,total_unserved_energy_kwh,maximum_unserved_power_kw,unserved_points,critical_demand_energy_kwh,critical_unserved_energy_kwh,critical_maximum_unserved_power_kw,critical_served_fraction,essential_demand_energy_kwh,essential_unserved_energy_kwh,essential_maximum_unserved_power_kw,essential_served_fraction,interruptible_demand_energy_kwh,interruptible_unserved_energy_kwh,interruptible_maximum_unserved_power_kw,interruptible_served_fraction,scenario,highs_equivalence_max_kw
proportional-curtailment,366.22061444444444,575.9126,1541,35358.074399020836,219.4505744166667,374.34319,0.9937934806081311,17656.296302402778,102.39362383333335,172.77378,0.9942007303185437,8303.5489734375,44.376416194444445,72.55032,0.9946557289736712,base_v15_normalized,1.1368683772161603e-13
priority-greedy,366.22061444444444,575.9126,1541,35358.074399020836,11.288259201388891,227.33160499999997,0.9996807445147041,17656.296302402778,117.42534620138892,298.78371,0.9933493783639432,8303.5489734375,237.5070090416667,216.55031999999997,0.9713969280121746,base_v15_normalized,1.1368683772161603e-13
HiGHS-priority-LP,366.22061444444444,575.9126,1541,35358.074399020836,11.288259201388891,227.33160499999997,0.9996807445147041,17656.296302402778,117.42534620138892,298.78371,0.9933493783639432,8303.5489734375,237.5070090416667,216.55031999999997,0.9713969280121746,base_v15_normalized,1.1368683772161603e-13
proportional-curtailment,430.09977954861114,575.9208749999999,1756,35358.074399020836,263.5672416649306,374.34856874999997,0.9925457693569356,17656.296302402778,115.56872057291666,172.77626249999997,0.9934545321060799,8303.5489734375,50.963817310763886,72.55032,0.9938624054035456,grid_derate_25pct,1.1368683772161603e-13
priority-greedy,430.09977954861114,575.9208749999999,1756,35358.074399020836,11.288734895833336,227.33988,0.9996807310610742,17656.296302402778,164.08600715972224,298.78371,0.9907066575940169,8303.5489734375,254.72503749305557,216.55031999999997,0.9693233533868586,grid_derate_25pct,1.1368683772161603e-13
HiGHS-priority-LP,430.09977954861114,575.9208749999999,1756,35358.074399020836,11.288734895833336,227.33988,0.9996807310610742,17656.296302402778,164.08600715972224,298.78371,0.9907066575940169,8303.5489734375,254.72503749305557,216.55031999999997,0.9693233533868586,grid_derate_25pct,1.1368683772161603e-13
proportional-curtailment,1083.2881419444445,815.9125999999999,2957,35358.074399020836,679.8701185833334,530.3431899999999,0.980771856778429,17656.296302402778,278.9592020277778,244.77378,0.9842005822030855,8303.5489734375,124.45882133333336,108.55031999999999,0.985011370230793,one_generator_unavailable,1.1368683772161603e-13
priority-greedy,1083.2881419444445,815.9126,2957,35358.074399020836,137.84415759027775,467.33160499999997,0.99610148007398,17656.296302402778,565.5331800347224,433.10063999999994,0.9679698861896784,8303.5489734375,379.9108043194445,231.267225,0.9542471772570074,one_generator_unavailable,1.1368683772161603e-13
HiGHS-priority-LP,1083.2881419444445,815.9126,2957,35358.074399020836,137.84415759027775,467.33160499999997,0.99610148007398,17656.296302402778,565.5331800347224,433.10063999999994,0.9679698861896784,8303.5489734375,379.9108043194445,231.267225,0.9542471772570074,one_generator_unavailable,1.1368683772161603e-13
proportional-curtailment,366.22061444444444,575.9126,1541,35358.074399020836,219.4505744166667,374.34319,0.9937934806081311,17656.296302402778,102.39362383333335,172.77378,0.9942007303185437,8303.5489734375,44.376416194444445,72.55032,0.9946557289736712,storage_derate_350kw,1.1368683772161603e-13
priority-greedy,366.22061444444444,575.9126,1541,35358.074399020836,11.288259201388891,227.33160499999997,0.9996807445147041,17656.296302402778,117.42534620138892,298.78371,0.9933493783639432,8303.5489734375,237.5070090416667,216.55031999999997,0.9713969280121746,storage_derate_350kw,1.1368683772161603e-13
HiGHS-priority-LP,366.22061444444444,575.9126,1541,35358.074399020836,11.288259201388891,227.33160499999997,0.9996807445147041,17656.296302402778,117.42534620138892,298.78371,0.9933493783639432,8303.5489734375,237.5070090416667,216.55031999999997,0.9713969280121746,storage_derate_350kw,1.1368683772161603e-13
proportional-curtailment,1679.263527399305,840.8195174999998,4284,36242.02625899636,1034.9028102559028,546.5326863749999,0.9714446757788823,18097.703709962847,440.0556496319444,252.24585524999995,0.9756844483319896,8511.137697773438,204.30506751145828,113.96407799999996,0.9759955631354776,joint_extreme,1.1368683772161603e-13
priority-greedy,1679.263527399305,840.8195174999998,4284,36242.02625899636,231.15499118697906,483.5239976249999,0.9936219076291409,18097.703709962847,700.6827204934026,443.9281559999999,0.9612833356251891,8511.137697773438,747.4258157189234,237.04890562499997,0.9121826197319713,joint_extreme,1.1368683772161603e-13
HiGHS-priority-LP,1679.263527399305,840.8195174999998,4284,36242.02625899636,231.15499118697906,483.5239976249999,0.9936219076291409,18097.703709962847,700.6827204934026,443.9281559999999,0.9612833356251891,8511.137697773438,747.4258157189234,237.04890562499997,0.9121826197319713,joint_extreme,1.1368683772161603e-13
