asset_id,parameter,identified_value,provenance_class,can_replace_target_rig_parameter
G1,observed_max_power_kw,240.0,SURROGATE_IDENTIFIED,False
G1,observed_p05_positive_power_kw,7.879240000000002,SURROGATE_IDENTIFIED,False
G1,observed_max_ramp_up_kw_per_step,120.0594,SURROGATE_IDENTIFIED,False
G1,observed_max_ramp_down_kw_per_step,120.0596,SURROGATE_IDENTIFIED,False
G1,observed_min_on_seconds,5.0,SURROGATE_IDENTIFIED,False
G1,observed_min_off_seconds,5.0,SURROGATE_IDENTIFIED,False
G1,observed_median_on_seconds,15.0,SURROGATE_IDENTIFIED,False
G1,observed_median_off_seconds,20.0,SURROGATE_IDENTIFIED,False
G2,observed_max_power_kw,240.0,SURROGATE_IDENTIFIED,False
G2,observed_p05_positive_power_kw,8.808480000000001,SURROGATE_IDENTIFIED,False
G2,observed_max_ramp_up_kw_per_step,228.3202,SURROGATE_IDENTIFIED,False
G2,observed_max_ramp_down_kw_per_step,231.6668,SURROGATE_IDENTIFIED,False
G2,observed_min_on_seconds,5.0,SURROGATE_IDENTIFIED,False
G2,observed_min_off_seconds,5.0,SURROGATE_IDENTIFIED,False
G2,observed_median_on_seconds,15.0,SURROGATE_IDENTIFIED,False
G2,observed_median_off_seconds,25.0,SURROGATE_IDENTIFIED,False
G3,observed_max_power_kw,240.0,SURROGATE_IDENTIFIED,False
G3,observed_p05_positive_power_kw,6.102580000000001,SURROGATE_IDENTIFIED,False
G3,observed_max_ramp_up_kw_per_step,112.276,SURROGATE_IDENTIFIED,False
G3,observed_max_ramp_down_kw_per_step,98.15200000000002,SURROGATE_IDENTIFIED,False
G3,observed_min_on_seconds,5.0,SURROGATE_IDENTIFIED,False
G3,observed_min_off_seconds,5.0,SURROGATE_IDENTIFIED,False
G3,observed_median_on_seconds,15.0,SURROGATE_IDENTIFIED,False
G3,observed_median_off_seconds,20.0,SURROGATE_IDENTIFIED,False
G4,observed_max_power_kw,240.0,SURROGATE_IDENTIFIED,False
G4,observed_p05_positive_power_kw,137.310605,SURROGATE_IDENTIFIED,False
G4,observed_max_ramp_up_kw_per_step,166.94400000000002,SURROGATE_IDENTIFIED,False
G4,observed_max_ramp_down_kw_per_step,51.05899999999998,SURROGATE_IDENTIFIED,False
G4,observed_min_on_seconds,5.0,SURROGATE_IDENTIFIED,False
G4,observed_min_off_seconds,90.0,SURROGATE_IDENTIFIED,False
G4,observed_median_on_seconds,7.5,SURROGATE_IDENTIFIED,False
G4,observed_median_off_seconds,8840.0,SURROGATE_IDENTIFIED,False
BESS01,observed_max_discharge_power_kw,200.0,SURROGATE_IDENTIFIED,False
BESS01,observed_max_charge_power_kw,133.0,SURROGATE_IDENTIFIED,False
BESS01,observed_min_soc_pct,20.0,SURROGATE_IDENTIFIED,False
BESS01,observed_max_soc_pct,75.1266,SURROGATE_IDENTIFIED,False
